code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300480,光力科技,电器仪表,河南,957.57,4579.93,18481.0,50520.56,46245.65,2951.99,19979.86,1.08,0.006999999999999999,2.57,9.7,20150702
000911,南宁糖业,食品,广西,0.0,32408.08,32408.08,656534.19,386822.75,162104.61,145654.11,4.49,-0.36,4.56,5.46,19990527
600694,大商股份,百货,辽宁,9.73,29371.86,29371.86,1673720.25,904457.31,552910.0,143896.86,4.9,1.003,22.76,1.72,19931122
600064,南京高科,园区开发,江苏,10.63,77247.29,77247.29,2200250.25,1162645.5,13519.75,43190.73,0.56,0.35,11.3,1.32,19970506
601107,四川成渝,路桥,四川,10.54,216274.0,305806.0,3320953.25,664344.44,57880.35,184645.59,0.6,0.111,4.2,1.12,20090727
002748,世龙实业,化工原料,江西,65.0,11548.5,24000.0,106877.15,43285.78,51534.57,45256.03,1.89,0.062,4.01,4.0,20150319
600712,南宁百货,百货,广西,1911.56,53772.91,54465.53,211839.02,46198.89,116853.01,36985.75,0.68,0.001,2.03,5.12,19960626
600365,通葡股份,红黄药酒,吉林,678.43,40000.0,40000.0,98270.05,67161.65,12568.61,54790.86,1.37,0.01,1.72,7.7,20010115
600372,中航电子,航空,北京,158.89,175916.3,175916.3,1601210.0,1135966.25,287840.16,123807.4,0.7,0.028999999999999998,3.26,5.56,20010706
600109,国金证券,证券,四川,29.83,302435.94,302435.94,5534000.0,0.0,12140.0,784179.44,2.59,0.105,5.49,2.28,19970807
300353,东土科技,通信设备,北京,425.47,20049.9,49015.25,136128.22,51138.65,10504.69,51457.73,1.05,0.012,2.39,8.47,20120927
002035,华帝股份,家用电器,广东,45.65,33480.23,35886.12,275600.16,170277.72,58906.11,37050.23,1.03,0.134,4.39,5.56,20040901
603126,中材节能,环境保护,天津,83.63,21804.0,61050.0,302245.44,172090.95,84546.0,7176.16,0.12,0.032,2.28,4.73,20140731
000503,海虹控股,医疗保健,海南,0.0,89882.21,89882.21,143955.88,112272.77,6916.88,2317.08,0.03,-0.028999999999999998,1.5,28.18,19921130
002169,智光电气,电气设备,广东,183.33,18636.08,31611.14,296515.53,166310.19,85224.96,52175.12,1.65,0.032,3.67,6.46,20070919
601688,华泰证券,证券,江苏,25.6,544372.31,716276.88,42177540.0,0.0,258934.91,4583776.0,6.4,0.174,11.25,1.58,20100226
600076,康欣新材,通信设备,山东,30.16,36553.6,103426.4,338285.53,167719.17,85387.38,51492.65,0.5,0.107,2.56,5.03,19970526
000776,广发证券,证券,广东,16.8,591929.13,762108.75,37114392.0,0.0,90865.75,3186405.25,4.18,0.237,10.19,1.56,19970611
603077,和邦生物,化工原料,四川,77.24,318512.38,331223.84,1130562.5,226625.3,332999.09,105972.47,0.32,0.016,1.91,2.61,20120731
600814,杭州解百,百货,浙江,29.82,31038.3,71502.67,449644.19,218061.75,99937.93,1428.49,0.02,0.084,2.89,3.47,19940114
601001,大同煤业,煤炭开采,山西,4.81,167370.0,167370.0,2653422.5,1142819.88,465680.56,114297.36,0.68,0.262,3.19,1.58,20060623
000937,冀中能源,煤炭开采,河北,1059.26,290659.97,353354.69,4203431.0,1584317.5,1372010.5,415529.0,1.18,0.001,5.22,0.97,19990909
600512,腾达建设,建筑施工,浙江,1922.35,97080.54,101803.72,585796.19,435698.5,13023.94,63310.78,0.62,0.001,1.98,2.04,20021226
000605,渤海股份,水务,北京,140.82,11843.54,19499.1,237961.17,47979.81,110776.92,49125.07,2.52,0.031,5.18,3.33,19960913
600826,兰生股份,商贸代理,上海,4.03,42064.23,42064.23,505842.91,194930.45,3008.76,13791.29,0.33,1.5859999999999999,8.87,2.89,19940204
002770,科迪乳业,乳制品,河南,103.16,13680.0,54680.0,204519.88,76123.25,26384.28,44831.1,0.82,0.03,2.03,6.05,20150630
002418,康盛股份,机械基件,浙江,126.09,55360.82,113640.0,404110.44,197238.02,98672.96,112736.22,0.99,0.021,1.71,6.07,20100601
002147,新光圆成,机械基件,安徽,0.0,22022.15,122795.77,117846.26,42116.19,58579.95,40143.37,0.33,-0.05,3.15,5.0,20070808
000428,华天酒店,酒店餐饮,湖南,0.0,71874.86,101892.6,931650.19,328256.94,338703.84,145306.69,1.43,-0.057,3.07,2.06,19960808
603608,天创时尚,服饰,广东,140.87,7000.0,28000.0,191746.11,153138.56,24194.1,84246.36,3.01,0.05,5.34,4.35,20160218
002505,大康农业,农业综合,湖南,728.6,154608.8,548537.25,919578.19,691066.0,64762.7,276019.66,0.5,0.001,1.05,4.02,20101118
600864,哈投股份,火力发电,黑龙江,34.83,54637.82,54637.82,557904.75,100429.61,181527.5,2832.05,0.05,0.077,6.62,1.61,19940809
002537,海立美达,汽车整车,山东,61.27,30000.0,30000.0,285328.66,139977.17,73631.63,77938.13,2.6,0.111,5.02,5.39,20110110
600086,东方金钰,服饰,湖北,28.94,105684.5,135000.0,965424.13,880256.19,20491.75,63123.63,0.47,0.085,2.12,4.64,19970606
600152,维科精华,纺织,浙江,0.0,29349.41,29349.41,131140.06,59784.6,40010.78,13650.35,0.47,-0.039,2.0,5.52,19980609
603520,司太立,化学制药,浙江,60.66,3000.0,12000.0,187976.3,86164.0,54307.6,45597.76,3.8,0.28,6.63,7.68,20160309
002636,金安国纪,元器件,上海,65.46,24638.81,72800.0,267809.78,184824.75,75407.9,19133.28,0.26,0.055,1.96,7.32,20111125
002628,成都路桥,建筑施工,四川,136.9,67976.7,73741.63,530995.25,365090.28,6168.41,83869.86,1.14,0.012,3.56,1.88,20111103
601908,京运通,半导体,北京,33.11,171954.05,199731.77,1032839.88,463993.59,385494.81,290498.16,1.45,0.051,3.1,2.17,20110908
000021,深科技,电脑设备,深圳,21.82,146981.44,147125.94,1186534.75,799234.69,210196.8,67823.25,0.46,0.10300000000000001,3.62,2.47,19940202
